state,catalogued_record_count,se4all_record_count,se4all_survey_record_count,official_supplement_count,exact_site_record_count,operational_or_commissioned_count,coverage_status,coverage_interpretation,programme_evidence,programme_source_url,audit_date
Ogun,4,3,0,1,4,3,catalogued_public_records,4 named public record(s) are catalogued; this is not evidence that the state has only this many assets.,,,2026-07-25
Ondo,9,5,4,0,5,4,catalogued_public_records,9 named public record(s) are catalogued; this is not evidence that the state has only this many assets.,,,2026-07-25
Osun,1,1,0,0,1,1,catalogued_public_records,1 named public record(s) are catalogued; this is not evidence that the state has only this many assets.,,,2026-07-25
Oyo,4,1,3,0,1,0,catalogued_public_records,4 named public record(s) are catalogued; this is not evidence that the state has only this many assets.,,,2026-07-25
Plateau,5,5,0,0,5,3,catalogued_public_records,5 named public record(s) are catalogued; this is not evidence that the state has only this many assets.,,,2026-07-25
Rivers,5,4,1,0,4,4,catalogued_public_records,5 named public record(s) are catalogued; this is not evidence that the state has only this many assets.,,,2026-07-25
Sokoto,4,3,0,1,3,4,catalogued_public_records,4 named public record(s) are catalogued; this is not evidence that the state has only this many assets.,,,2026-07-25
Taraba,1,1,0,0,1,0,catalogued_public_records,1 named public record(s) are catalogued; this is not evidence that the state has only this many assets.,,,2026-07-25
Yobe,2,0,0,2,0,2,catalogued_public_records,2 named public record(s) are catalogued; this is not evidence that the state has only this many assets.,,,2026-07-25
Zamfara,0,0,0,0,0,0,official_pipeline_only,"No named, geocoded commissioned record was verified in this audit; official programme or procurement evidence exists. This must not be interpreted as zero assets.",REA procurement records include proposed solar mini-grid work in Zamfara; a named commissioned record was not verified.,https://rea.gov.ng/wp-content/uploads/2021/07/Y2021-Capital-Project-Advert-v11.pdf,2026-07-25
